time,x,y,theta,left_vel,right_vel
0.0,0.9998976049597783,0.01303546501742324,1.585175713305858,0.2748134507401571,0.3534211118374024
0.05,0.9997082682009331,0.02620179231554734,1.5960499290335266,0.2517863774188196,0.38280102474012856
0.1,0.9993695516534876,0.03961154417274952,1.6082539764165247,0.24971125651193574,0.39674797196974426
0.15,0.9988780672166078,0.052726476825451035,1.6217590903000472,0.23488819720854578,0.3976004126726728
0.2,0.9981866667720065,0.06628150650317942,1.6361078651853447,0.24061343636529467,0.41349024221225256
0.25,0.9972254070819981,0.08097864184350465,1.6513331253719186,0.26318607545416456,0.44662294517192164
0.3,0.9960057781406282,0.09608963349756677,1.6666985685542042,0.2727414440227524,0.4578672654960731
0.35,0.9945035854479748,0.11170537403412725,1.68191653487069,0.2863454467345233,0.4696944384994125
0.4,0.9928034049319252,0.12694271929120743,1.6980730200603347,0.27211526470955705,0.4667717127775667
0.45,0.9909052536534615,0.14177568308009264,1.7149195414560583,0.2588504091716244,0.46182054646949944
0.5,0.988733550259431,0.1567395875606051,1.7324139716250062,0.2589654175465491,0.46974168464230615
0.55,0.9865246963240034,0.17028754153535644,1.750366238073863,0.2226210070665352,0.4389133739202312
0.6000000000000001,0.9841797953280594,0.18320531032025594,1.7688664851335756,0.20491111851289934,0.4278056614010047
0.65,0.9813520994445262,0.19729435991323407,1.788037311740474,0.23077838977830833,0.461752204319254
0.7000000000000001,0.9783645007602664,0.21082979656470058,1.807750459794285,0.2152517200489217,0.45275952792616275
0.75,0.9750848593233234,0.2244106083491278,1.828197638427297,0.21347970477320616,0.45983125456853213
0.8,0.9715187200260861,0.2379576663735196,1.848675638909606,0.21419453848797387,0.4609174358651902
0.8500000000000001,0.9674242368799999,0.25231119560424903,1.8696719334619367,0.23318146499117443,0.4861488692361245
0.9,0.9630440310166565,0.26652781084955063,1.891165067100242,0.2289835332940971,0.48793695062307535
0.95,0.9585596275684286,0.28004324529903085,1.914043879251891,0.20530771974772175,0.4809560589242167
1.0,0.9539520605232359,0.29293533080659084,1.9374809628350822,0.18870937821029307,0.47108387921259776
1.05,0.9491297404127883,0.30549169277887994,1.9619359570417678,0.17679012934687063,0.4714286137647703
1.1,0.9443649282390891,0.3170458973189495,1.9869109722379754,0.15070769070345164,0.4516114882481219
1.15,0.9395454217644951,0.3279517222682725,2.013046448024129,0.12986538168619083,0.4447506321217781
1.2000000000000002,0.9345766294276991,0.3384447607133095,2.0399503592978654,0.1176879592274978,0.441831468549624
1.25,0.9296204979788839,0.3482220558328739,2.06885754948219,0.0899975086983651,0.4382769085095013
1.3,0.9241584086801092,0.35826658015531043,2.0990701953476365,0.09350420515819079,0.4575119866695966
1.35,0.9178335187310201,0.36910428231886994,2.1301597325756823,0.11508248652000168,0.4896552242072987
1.4,0.9115128458195431,0.3792001867137577,2.162841507056761,0.09014023142852105,0.483896550477659
1.4500000000000002,0.9049076750991627,0.3890216841796551,2.196310207176481,0.08358532617290093,0.4868226770129
1.5,0.8977734060435213,0.3988993026806981,2.23098838099565,0.08470081532026844,0.502510138442787
1.55,0.8905851587087861,0.40815758424212834,2.267377986133301,0.06322421733443218,0.5016531948964936
1.6,0.883080585647241,0.41712939189958254,2.3052813398092713,0.053513870193915555,0.510180781952596
1.65,0.8752656313831398,0.4257835666598783,2.3445348206447667,0.04451017521183541,0.5174436792539483
1.7000000000000002,0.8668985569545236,0.4343480665971293,2.384869950595016,0.045529214992797946,0.5314946360801411
1.75,0.8582453876024976,0.44251867412680457,2.4263671631147217,0.03679027188201902,0.5367566877820874
1.8,0.8497149055414323,0.449928726593585,2.4694856043937548,0.012526717396518611,0.5320260099149905
1.85,0.8408375289763412,0.45699236180929664,2.514103363361779,0.004585157005253592,0.542148518065785
1.9,0.8317916585861979,0.46355311743185307,2.5591533923054515,-0.0021186776024555674,0.5406527554538382
1.95,0.8227027451897493,0.4695396242185645,2.6052342831380972,-0.01534710190367586,0.5398443539113333
