time,x,y,theta,left_vel,right_vel
0.0,0.9998951376094115,0.013349572608204525,1.5853329286280524,0.2748134507401571,0.3534211118374024
0.05,0.9997011588200995,0.026692796007035207,1.5953677765009808,0.2549628553326752,0.3730198891318323
0.1,0.9993736585576941,0.040018601100785256,1.6087855734547318,0.2347148149617896,0.3925712497118018
0.15,0.9987792166961533,0.05565870780190239,1.6246571197088004,0.2749061810584995,0.46163025463577856
0.2,0.9978861780014585,0.07222316805977166,1.6416535999802648,0.2903387268663478,0.49029731829533973
0.25,0.9968143241483932,0.0873247852455809,1.6573724076661096,0.263762481912411,0.44868963115764415
0.3,0.9955913773092452,0.10141516447971873,1.6722958457408656,0.24499980656750361,0.42056966627051534
0.35,0.9939308841372932,0.11771856227975486,1.6899193734693885,0.28192606866223985,0.48926168899780353
0.4,0.9922070889407478,0.1321207606503681,1.7058627176322607,0.2475095478190723,0.4350783026763928
0.45,0.9901950249525893,0.1469269145366758,1.722696419339028,0.2525603887090257,0.4506039382004057
0.5,0.987967313625997,0.16147957921196898,1.73974280170911,0.24613152804171098,0.446677202983853
0.55,0.9854555707077789,0.17620495206598633,1.7575674896376434,0.24663251875273876,0.4563347296766612
0.6000000000000001,0.9826359462913937,0.19112568062809338,1.7762894825357212,0.2471602522290923,0.4674189922064776
0.65,0.9796086435590382,0.2056496219872889,1.795238895827726,0.2376172288640252,0.4605515028876101
0.7000000000000001,0.9763608135358774,0.21987646898928237,1.8145959018477087,0.22949668054642655,0.4572261631344594
0.75,0.972872186569445,0.23390123602825055,1.834553319292595,0.22265398978307258,0.4574471361934976
0.8,0.9691908406608887,0.24753340425486464,1.8549007723128703,0.21255599041085518,0.45193779064938816
0.8500000000000001,0.9652252289271533,0.2611141066621971,1.8762218844082665,0.20747219420978325,0.4583088070967976
0.9,0.9609928233375071,0.2745379127607421,1.8984527854670532,0.20041164851894028,0.46195166097525336
0.95,0.9565014855219512,0.28775128699569086,1.921600575854318,0.19220915203851102,0.4645360977710382
1.0,0.9518086036250815,0.3005754648896177,1.9454311415572731,0.18113469840048352,0.4614942949058392
1.05,0.946891338725721,0.31308107021022574,1.970145062729872,0.17080331108706706,0.46155532488234735
1.1,0.9418070482629,0.32512841676595716,1.9955299257149388,0.15835397610386304,0.45699942298700097
1.15,0.9364381108426587,0.33699970990251804,2.0222634458373054,0.14930712385037034,0.4638191252899769
1.2000000000000002,0.9307442663434633,0.34874284456293897,2.050598735077666,0.14039739827259318,0.47375374227683675
1.25,0.9251144174519411,0.3595619926116985,2.078643512479559,0.12200193541672057,0.4519404930860478
1.3,0.9190185903651853,0.37051515676018576,2.109189538172636,0.11526307202797573,0.4746280801818271
1.35,0.9128345898936963,0.3808693224005292,2.1403438491816007,0.10051088915283661,0.4670321951406578
1.4,0.9063885114618636,0.3909361235472315,2.1730774599013496,0.08871432367972673,0.473815626265009
1.4500000000000002,0.8997726263553147,0.40055935722787656,2.206963489408265,0.07544776998787446,0.47410694065746584
1.5,0.89294545279921,0.4098027149955911,2.2422686756891816,0.06270594861503717,0.47806108133170105
1.55,0.8857489223775699,0.41885890201009185,2.279851498586198,0.05109851654261323,0.4932493741545687
1.6,0.8783414632040119,0.4274934400798159,2.31887341449737,0.03814265025373385,0.4972240139145817
